name,accession_lat,accession_lng,terraclimate_lat,terraclimate_lng,spring_soil_moisture,fall_soil_moisture
950099,51.708,12.0079,51.6875,12.0208,0.27559793,0.24390836
950101,51.708,12.0079,51.6875,12.0208,0.27559793,0.24390836
950102,51.708,12.0079,51.6875,12.0208,0.27559793,0.24390836
950103,51.708,12.0079,51.6875,12.0208,0.27559793,0.24390836
950104,52.0151,12.584,52.0208,12.6042,0.32609034,0.284844
950111,51.8852,12.3933,51.8958,12.3958,0.29138657,0.25438595
950112,51.8852,12.3933,51.8958,12.3958,0.29138657,0.25438595
950113,51.8852,12.3933,51.8958,12.3958,0.29138657,0.25438595
950114,51.8852,12.3933,51.8958,12.3958,0.29138657,0.25438595
950117,55.7224,13.185,55.7292,13.1875,0.36298266,0.5087719
950119,55.7224,13.185,55.7292,13.1875,0.36298266,0.5087719
950121,55.7224,13.185,55.7292,13.1875,0.36298266,0.5087719
950122,55.7317,13.2525,55.7292,13.2708,0.37642646,0.54970765
950131,55.7729,13.2571,55.7708,13.2708,0.3687666,0.5358187
